Title,Date,DOI,DOI URL,Blog URL,Related tools
A Decade of FAIR Metadata,Jul 2026,,,https://metadatagamechangers.com/blog/2026/7/6/a-decade-of-fair-metadata,Completeness; Repository History
DataCite DOI Re-Curation Watch,Jun 2026,,,https://metadatagamechangers.com/blog/2026/6/13/datacite-doi-re-curation-watch,Re-Curation Watch; Repository Activity
Metadata Details for Research Integrity,May 2026,10.59350/4eya7-q4r84,https://doi.org/10.59350/4eya7-q4r84,https://metadatagamechangers.com/blog/2026/5/22/metadata-for-research-integrity,Re-Curation Watch
Community Can Help Improve Metadata,May 2026,10.59350/dzsvy-wnk87,https://doi.org/10.59350/dzsvy-wnk87,https://metadatagamechangers.com/blog/2026/5/5/community-can-help-improve-metadata,Re-Curation Watch; Repository Activity
DataCite Project Use Cases,Feb 2026,10.59350/49wm0-n8797,https://doi.org/10.59350/49wm0-n8797,https://metadatagamechangers.com/blog/2026/2/13/datacite-project-use-cases,Completeness
From Recommendation to Action: A New Tool for Measuring Metadata Completeness,Jan 2026,10.59350/5hprv-z9h09,https://doi.org/10.59350/5hprv-z9h09,https://metadatagamechangers.com/blog/2026/1/15/from-recommendation-to-action-a-new-tool-for-measuring-metadata-completeness,Completeness
"DataCite Bright Spots – Repositories, Consortia, and Improvements",Jan 2026,10.59350/v2may-69s52,https://doi.org/10.59350/v2may-69s52,https://metadatagamechangers.com/blog/2026/1/9/datacite-bright-spots-repositories-consortia-and-improvements,Completeness
Using Award Numbers to Check Funder Identifiers,Jan 2026,10.59350/906sf-9cd82,https://doi.org/10.59350/906sf-9cd82,https://metadatagamechangers.com/blog/2026/1/6/using-award-numbers-to-check-funder-identifiers,Connectivity
Award Metadata @ DataCite,Oct 2025,10.59350/z0nex-23v25,https://doi.org/10.59350/z0nex-23v25,https://metadatagamechangers.com/blog/2025/10/27/award-metadata-datacite,Connectivity
Crossref Metadata Evolution - 2019 - 2025,Oct 2025,10.59350/56ve6-p2706,https://doi.org/10.59350/56ve6-p2706,https://metadatagamechangers.com/blog/2025/10/12/crossref-metadata-evolution-2019-2025,Repository History
DataCite Bright Spots,Jun 2025,10.59350/34brd-80j48,https://doi.org/10.59350/34brd-80j48,https://metadatagamechangers.com/blog/2025/6/14/metadata-game-changers-datacite-bright-spots,Completeness
DataCite Metadata Continues to Add Capabilities,Jun 2025,10.59350/wgret-2kd02,https://doi.org/10.59350/wgret-2kd02,https://metadatagamechangers.com/blog/2025/6/9/datacite-metadata-continues-to-add-capabilities,Repository History
Connecting PIDs in DataCite Metadata,Mar 2025,10.59350/6s7dv-5ds58,https://doi.org/10.59350/6s7dv-5ds58,https://metadatagamechangers.com/blog/2025/3/14/connecting-pids-in-datacite-metadata,Connectivity
DataCite Facets and Metadata Completeness,Feb 2025,10.59350/55etd-e8154,https://doi.org/10.59350/55etd-e8154,https://metadatagamechangers.com/blog/2025/2/2/datacite-facets-and-metadata-completeness,Completeness
Re-Curating the Gump South Pacific Field Station,Nov 2024,10.59350/zw0x7-dgk35,https://doi.org/10.59350/zw0x7-dgk35,https://metadatagamechangers.com/blog/2024/11/20/re-curating-the-gump-south-pacific-field-station,Re-Curation Watch
University and College Connectivity @ DataCite,Oct 2024,10.59350/w95qm-ann38,https://doi.org/10.59350/w95qm-ann38,https://metadatagamechangers.com/blog/2024/10/30/university-and-college-connectivity-datacite,Connectivity; ORCID Retriever
BrightSpots Get Brighter,Sep 2024,10.59350/prqvd-2f082,https://doi.org/10.59350/prqvd-2f082,https://metadatagamechangers.com/blog/2024/9/22/brightspots-get-brighter,Re-Curation Watch; Repository Activity
Projects@DataCite Revisited,Jul 2024,10.59350/ejd15-gvd72,https://doi.org/10.59350/ejd15-gvd72,https://metadatagamechangers.com/blog/2024/7/25/projectsdatacite-revisited,Completeness
FAIR DataCite Metadata - University and College Bright Spots,Jun 2024,10.59350/v6enq-99z90,https://doi.org/10.59350/v6enq-99z90,https://metadatagamechangers.com/blog/2024/6/12/fair-metadata-university-and-college-bright-spots,Completeness
Funder Acronyms Are Still Not Enough,Apr 2024,10.59350/cnkm2-18f84,https://doi.org/10.59350/cnkm2-18f84,https://metadatagamechangers.com/blog/2024/4/12/funder-acronyms-are-still-not-enough,ROR Retriever
Repository Re-Curation for Open Science,Dec 2023,10.59350/e265t-esh97,https://doi.org/10.59350/e265t-esh97,https://metadatagamechangers.com/blog/2023/12/17/repository-re-curation-for-open-science,Re-Curation Watch
ORCID Profiles – What's There and Where Did It Come From?,Jun 2023,10.59350/ypxdr-ade49,https://doi.org/10.59350/ypxdr-ade49,https://metadatagamechangers.com/blog/2023/6/6/orcid-profiles-whats-there-and-where-did-it-come-from,ORCID Retriever
Project Metadata in DataCite,May 2023,10.59350/zwzvv-1n627,https://doi.org/10.59350/zwzvv-1n627,https://metadatagamechangers.com/blog/2023/5/2/project-metadata-in-datacite,Completeness
Responding to the Nelson Memo: Repository Re-Curation for Open Science,Feb 2023,10.59350/vb0h7-be823,https://doi.org/10.59350/vb0h7-be823,https://metadatagamechangers.com/blog/2023/2/28/responding-to-the-nelson-memorepository-re-curation-for-open-science,Re-Curation Watch
Journal Connectivity@Dryad: The University of Chicago Press,Oct 2022,10.59350/fgy0j-cgw89,https://doi.org/10.59350/fgy0j-cgw89,https://metadatagamechangers.com/blog/2022/10/17/the-university-of-chicago-pressdryad-journal-connectivity,Connectivity
ROR Identifiers That Have Disappeared,Jul 2022,10.59350/7gb9z-x1767,https://doi.org/10.59350/7gb9z-x1767,https://metadatagamechangers.com/blog/2022/7/22/missing-rors,ROR Retriever
Universities@DataCite,Jun 2022,10.59350/sgzhr-3kk88,https://doi.org/10.59350/sgzhr-3kk88,https://metadatagamechangers.com/blog/2022/6/23/universitiesdatacite,Connectivity
Need help searching for RORs? Try RORRetriever!,Jun 2022,10.59350/4gxfz-4kb47,https://doi.org/10.59350/4gxfz-4kb47,https://metadatagamechangers.com/blog/2022/6/30/rorretriever,ROR Retriever
ROR in a Database,Jun 2022,10.59350/129q1-ckn64,https://doi.org/10.59350/129q1-ckn64,https://metadatagamechangers.com/blog/2022/6/20/ror-in-a-database,ROR Retriever
Funder Metadata: Identifiers and Award Numbers,Feb 2022,10.59350/xrqzb-re120,https://doi.org/10.59350/xrqzb-re120,https://metadatagamechangers.com/blog/2022/2/2/funder-metadata-identifiers-and-award-numbers,Connectivity
Acronyms Are Definitely Not Enough,Jul 2021,10.59350/93v82-yr723,https://doi.org/10.59350/93v82-yr723,https://metadatagamechangers.com/blog/2021/7/16/acronyms-are-definitely-not-enough,ROR Retriever
Improving Domain Repository Connectivity: Closing the Circle,May 2021,10.59350/fjg8d-txx45,https://doi.org/10.59350/fjg8d-txx45,https://metadatagamechangers.com/blog/2021/5/14/improving-domain-repository-connectivity-closing-the-circle,Connectivity
Improving Domain Repository Connectivity: Person or Organization?,Apr 2021,10.59350/yajj6-y6687,https://doi.org/10.59350/yajj6-y6687,https://metadatagamechangers.com/blog/2021/4/6/improving-domain-repository-connectivity-person-or-organization,Connectivity; ORCID Retriever
